order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,13,2,26,52
2,1,44,1,26,26
3,2,48,1,92,92
4,2,30,3,149,447
5,2,12,2,109,218
6,2,10,3,115,345
7,3,32,2,50,100
8,4,9,3,59,177
9,5,14,1,60,60
10,5,35,2,28,56
11,5,33,3,76,228
12,5,5,2,115,230
13,6,37,2,124,248
14,7,15,3,44,132
15,7,40,3,29,87
16,7,39,2,42,84
17,7,24,1,101,101
18,8,35,2,90,180
19,8,1,2,30,60
20,8,5,1,121,121
21,8,5,1,133,133
22,9,17,2,51,102
23,9,20,1,141,141
24,9,2,2,80,160
25,9,20,2,149,298
26,10,13,1,96,96
27,10,46,1,37,37
28,11,40,3,114,342
29,11,36,1,29,29
30,11,39,1,147,147
31,12,47,3,126,378
32,12,18,3,133,399
33,13,15,3,57,171
34,13,5,2,132,264
35,14,20,1,148,148
36,14,49,1,147,147
37,14,15,1,104,104
38,14,49,2,123,246
39,15,15,1,58,58
40,15,29,1,42,42
41,15,27,2,104,208
42,15,33,2,126,252
43,16,31,3,55,165
44,16,17,1,112,112
45,16,10,2,147,294
46,17,27,3,64,192
47,17,45,2,126,252
48,17,23,3,117,351
49,17,13,3,96,288
50,18,49,3,115,345
51,18,11,2,48,96
52,18,26,3,120,360
53,18,40,1,122,122
54,19,50,2,106,212
55,20,39,1,91,91
56,20,30,1,141,141
57,20,8,2,135,270
58,20,15,1,24,24
59,21,23,1,81,81
60,21,45,2,96,192
61,22,41,1,66,66
62,22,41,1,22,22
63,22,30,3,112,336
64,22,6,1,39,39
65,23,24,1,106,106
66,23,20,2,125,250
67,23,37,2,31,62
68,24,49,1,113,113
69,24,43,3,116,348
70,24,47,3,91,273
71,24,8,3,113,339
72,25,23,3,52,156
73,25,32,1,81,81
74,26,38,2,65,130
75,27,45,3,117,351
76,28,42,3,45,135
77,28,37,3,109,327
78,28,37,1,100,100
79,29,26,2,67,134
80,29,22,2,107,214
81,29,37,2,34,68
82,30,12,1,28,28
83,30,16,3,81,243
84,31,16,1,57,57
85,32,23,2,148,296
86,32,45,1,74,74
87,33,27,2,61,122
88,33,45,1,39,39
89,34,19,3,71,213
90,34,18,2,26,52
91,34,19,3,117,351
92,35,35,1,119,119
93,35,43,1,96,96
94,35,43,3,92,276
95,35,27,1,110,110
96,36,34,2,52,104
97,36,35,2,132,264
98,37,8,2,119,238
99,37,29,1,88,88
100,38,16,2,142,284
101,38,1,1,125,125
102,39,46,2,68,136
103,39,47,1,30,30
104,40,5,2,56,112
105,40,20,3,137,411
106,40,38,2,51,102
107,41,33,1,115,115
108,41,42,1,87,87
109,41,39,1,64,64
110,42,23,3,87,261
111,42,24,1,83,83
112,42,49,1,83,83
113,43,38,3,101,303
114,43,17,1,51,51
115,43,19,2,21,42
116,43,11,1,65,65
117,44,21,3,130,390
118,44,17,2,40,80
119,45,48,3,110,330
120,45,14,2,46,92
121,46,13,1,105,105
122,47,50,3,72,216
123,47,12,1,27,27
124,47,24,2,121,242
125,48,30,2,103,206
126,48,25,1,53,53
127,49,46,3,79,237
128,50,2,3,21,63
129,51,12,2,142,284
130,52,17,1,84,84
131,53,24,2,89,178
132,53,10,2,141,282
133,54,14,2,114,228
134,54,17,2,104,208
135,54,20,2,59,118
136,54,3,1,20,20
137,55,21,1,59,59
138,55,41,1,20,20
139,55,40,2,149,298
140,56,38,3,60,180
141,56,42,1,35,35
142,56,26,1,42,42
143,57,31,3,108,324
144,58,28,3,103,309
145,59,31,2,32,64
146,59,41,2,24,48
147,59,2,3,24,72
148,59,12,1,30,30
149,60,35,1,125,125
150,61,28,2,144,288
151,61,49,1,75,75
152,61,3,1,75,75
153,61,38,3,110,330
154,62,47,1,80,80
155,62,14,1,84,84
156,63,10,2,115,230
157,63,35,3,56,168
158,63,26,1,133,133
159,63,30,3,28,84
160,64,37,1,122,122
161,64,35,1,31,31
162,65,19,1,45,45
163,66,17,1,64,64
164,67,21,1,109,109
165,67,4,2,111,222
166,67,19,1,20,20
167,67,49,1,22,22
168,68,36,3,111,333
169,68,33,2,73,146
170,68,6,1,76,76
171,69,14,2,40,80
172,69,16,2,97,194
173,70,26,1,90,90
174,71,46,3,97,291
175,71,33,3,146,438
176,71,9,3,118,354
177,71,46,3,87,261
178,72,40,2,31,62
179,73,5,3,95,285
180,73,38,1,68,68
181,73,11,3,138,414
182,74,23,2,33,66
183,74,12,1,112,112
184,74,25,1,53,53
185,75,35,2,23,46
186,75,5,2,128,256
187,75,48,3,66,198
188,75,24,1,100,100
189,76,20,3,116,348
190,76,23,1,134,134
191,76,15,1,118,118
192,76,8,2,24,48
193,77,25,2,92,184
194,78,34,2,101,202
195,79,23,1,124,124
196,80,2,2,78,156
197,80,33,1,30,30
198,80,33,3,96,288
199,80,22,1,145,145
200,81,41,3,57,171
201,81,30,3,147,441
202,81,38,3,113,339
203,81,10,1,53,53
204,82,34,1,125,125
205,82,7,3,57,171
206,82,49,2,103,206
207,82,46,1,87,87
208,83,16,3,56,168
209,83,23,2,89,178
210,83,49,3,46,138
211,84,3,3,44,132
212,84,40,1,70,70
213,85,28,2,111,222
214,85,43,2,83,166
215,86,19,3,105,315
216,87,45,1,81,81
217,87,36,3,34,102
218,87,20,2,90,180
219,88,14,2,111,222
220,88,9,1,112,112
221,88,17,1,58,58
222,89,42,3,141,423
223,90,9,2,21,42
224,90,3,2,128,256
225,90,26,3,37,111
226,91,26,1,68,68
227,92,6,1,111,111
228,92,15,3,69,207
229,92,14,3,29,87
230,93,17,3,125,375
231,93,48,2,45,90
232,94,21,3,61,183
233,95,27,2,58,116
234,95,34,2,112,224
235,96,18,3,110,330
236,96,3,1,84,84
237,96,19,3,66,198
238,97,42,2,84,168
239,97,17,1,106,106
240,98,24,2,54,108
241,98,3,2,92,184
242,98,48,1,39,39
243,98,34,2,62,124
244,99,5,1,110,110
245,99,40,2,77,154
246,99,40,2,49,98
247,99,44,3,150,450
248,100,27,3,96,288
249,100,16,2,138,276
250,100,9,2,108,216
251,100,39,1,110,110
252,101,23,2,147,294
253,101,37,1,22,22
254,101,24,2,103,206
255,102,23,1,32,32
256,102,28,1,117,117
257,103,26,2,104,208
258,103,19,2,97,194
259,104,15,1,89,89
260,104,5,1,52,52
261,104,3,3,147,441
262,104,47,2,108,216
263,105,37,3,42,126
264,105,27,1,37,37
265,105,43,1,107,107
266,105,31,1,149,149
267,106,42,1,89,89
268,106,16,1,124,124
269,107,45,3,80,240
270,108,42,2,101,202
271,108,8,3,108,324
272,109,12,1,112,112
273,110,41,3,46,138
274,110,33,2,30,60
275,111,13,3,118,354
276,111,34,3,31,93
277,111,30,3,74,222
278,111,50,2,92,184
279,112,45,2,104,208
280,112,27,2,29,58
281,113,35,1,108,108
282,113,33,1,80,80
283,114,5,3,113,339
284,115,24,2,62,124
285,115,33,3,143,429
286,115,3,1,136,136
287,116,39,1,25,25
288,117,44,1,95,95
289,117,27,2,82,164
290,118,9,3,44,132
291,118,5,3,120,360
292,118,6,1,121,121
293,119,1,3,132,396
294,119,45,1,134,134
295,119,39,2,119,238
296,120,38,3,28,84
297,120,25,1,92,92
298,121,8,3,55,165
299,121,9,1,69,69
300,121,37,3,60,180
301,122,46,3,134,402
302,122,41,1,50,50
303,122,38,2,85,170
304,122,47,1,58,58
305,123,7,1,38,38
306,123,38,1,93,93
307,124,21,1,141,141
308,124,37,3,99,297
309,125,38,2,126,252
310,125,38,2,140,280
311,125,14,3,144,432
312,125,31,3,115,345
