order_id,customer_id,user_id,order_date,status,total_amount
1,261,5,10/21/2025,Cancelled,78
2,9,1,10/15/2025,Processing,1102
3,557,3,10/14/2025,Completed,100
4,834,2,10/21/2025,Cancelled,177
5,111,2,10/24/2025,Cancelled,574
6,1138,1,10/27/2025,Processing,248
7,534,1,10/25/2025,Completed,404
8,253,5,10/13/2025,Cancelled,494
9,286,1,10/16/2025,Completed,701
10,104,4,10/29/2025,Completed,133
11,977,2,10/18/2025,Processing,518
12,167,4,10/7/2025,Completed,777
13,1175,2,10/10/2025,Completed,435
14,879,5,10/22/2025,Processing,645
15,978,5,10/10/2025,Cancelled,560
16,263,1,10/10/2025,Processing,571
17,664,1,10/8/2025,Completed,1083
18,448,4,10/20/2025,Cancelled,923
19,222,2,10/29/2025,Cancelled,212
20,768,2,10/20/2025,Cancelled,526
21,610,2,10/1/2025,Completed,273
22,841,1,10/12/2025,Cancelled,463
23,1015,2,10/3/2025,Processing,418
24,9,4,10/17/2025,Processing,1073
25,846,1,10/5/2025,Completed,237
26,1035,2,10/20/2025,Completed,130
27,1065,3,10/6/2025,Cancelled,351
28,419,1,10/29/2025,Processing,562
29,791,2,10/21/2025,Cancelled,416
30,713,5,10/2/2025,Cancelled,271
31,380,4,10/21/2025,Completed,57
32,297,2,10/5/2025,Cancelled,370
33,115,4,10/15/2025,Cancelled,161
34,841,2,10/8/2025,Processing,616
35,196,1,10/26/2025,Cancelled,601
36,1090,4,10/8/2025,Cancelled,368
37,1040,1,10/19/2025,Completed,326
38,146,2,10/12/2025,Completed,409
39,742,3,10/4/2025,Completed,166
40,351,5,10/12/2025,Cancelled,625
41,1103,1,10/24/2025,Cancelled,266
42,669,5,10/11/2025,Completed,427
43,304,3,10/1/2025,Processing,461
44,827,4,10/8/2025,Cancelled,470
45,991,5,10/14/2025,Cancelled,422
46,171,2,10/24/2025,Cancelled,105
47,1116,2,10/8/2025,Processing,485
48,759,5,10/24/2025,Completed,259
49,1072,1,10/3/2025,Completed,237
50,691,5,10/8/2025,Cancelled,63
51,25,3,10/10/2025,Processing,284
52,187,5,10/10/2025,Cancelled,84
53,389,4,10/10/2025,Cancelled,460
54,591,5,10/29/2025,Processing,574
55,576,4,10/21/2025,Completed,377
56,30,2,10/10/2025,Cancelled,257
57,47,2,10/30/2025,Cancelled,324
58,1095,2,10/28/2025,Cancelled,309
59,789,1,10/6/2025,Completed,214
60,114,2,10/8/2025,Completed,125
61,80,1,10/18/2025,Cancelled,768
62,1110,2,10/21/2025,Completed,164
63,1140,4,10/2/2025,Completed,615
64,623,5,10/10/2025,Completed,153
65,841,1,10/30/2025,Cancelled,45
66,10,4,10/30/2025,Cancelled,64
67,1193,2,10/3/2025,Completed,373
68,1118,4,10/11/2025,Completed,555
69,440,5,10/3/2025,Cancelled,274
70,790,5,10/12/2025,Completed,90
71,222,1,10/16/2025,Processing,1344
72,921,5,10/10/2025,Processing,62
73,170,2,10/27/2025,Cancelled,767
74,312,3,10/25/2025,Processing,231
75,154,3,10/8/2025,Completed,600
76,541,4,10/26/2025,Completed,648
77,843,3,10/6/2025,Completed,184
78,300,3,10/13/2025,Cancelled,202
79,790,3,10/23/2025,Completed,124
80,101,5,10/26/2025,Completed,619
81,598,3,10/24/2025,Cancelled,1004
82,1000,3,10/2/2025,Processing,589
83,997,5,10/1/2025,Cancelled,484
84,841,3,10/8/2025,Cancelled,202
85,835,5,10/6/2025,Completed,388
86,192,3,10/30/2025,Completed,315
87,787,3,10/21/2025,Completed,363
88,270,1,10/30/2025,Processing,392
89,862,3,10/7/2025,Cancelled,423
90,763,1,10/29/2025,Cancelled,409
91,586,1,10/6/2025,Cancelled,68
92,343,3,10/10/2025,Completed,405
93,668,3,10/6/2025,Cancelled,465
94,461,1,10/20/2025,Completed,183
95,245,2,10/10/2025,Cancelled,340
96,829,5,10/23/2025,Cancelled,612
97,673,4,10/22/2025,Completed,274
98,141,3,10/5/2025,Processing,455
99,1068,5,10/12/2025,Completed,812
100,105,4,10/13/2025,Processing,890
101,564,2,10/6/2025,Cancelled,522
102,30,3,10/17/2025,Completed,149
103,134,2,10/9/2025,Cancelled,402
104,869,5,10/2/2025,Cancelled,798
105,1124,5,10/25/2025,Cancelled,419
106,2,2,10/1/2025,Processing,213
107,895,3,10/7/2025,Processing,240
108,669,4,10/16/2025,Cancelled,526
109,78,5,10/16/2025,Cancelled,112
110,189,3,10/19/2025,Completed,198
111,747,2,10/23/2025,Cancelled,853
112,95,3,10/17/2025,Cancelled,266
113,711,1,10/17/2025,Cancelled,188
114,84,4,10/17/2025,Processing,339
115,777,1,10/17/2025,Completed,689
116,452,5,10/13/2025,Processing,25
117,376,2,10/21/2025,Cancelled,259
118,425,5,10/31/2025,Cancelled,613
119,728,4,10/16/2025,Processing,768
120,287,5,10/14/2025,Processing,176
121,1110,5,11/9/2025,Completed,414
122,430,5,11/12/2025,Cancelled,680
123,47,5,11/25/2025,Processing,131
124,469,4,11/17/2025,Completed,438
125,279,3,11/5/2025,Cancelled,1309
126,986,3,11/15/2025,Processing,616
127,222,4,11/12/2025,Cancelled,529
128,775,1,11/12/2025,Processing,472
129,75,2,11/23/2025,Cancelled,467
130,278,3,11/6/2025,Cancelled,368
131,775,4,11/7/2025,Processing,341
132,536,1,11/14/2025,Processing,405
133,29,3,11/23/2025,Cancelled,161
134,179,5,11/13/2025,Cancelled,912
135,732,2,11/27/2025,Cancelled,624
136,190,1,11/15/2025,Processing,390
137,12,5,11/21/2025,Cancelled,117
138,1177,1,11/30/2025,Processing,774
139,822,5,11/4/2025,Processing,1082
140,584,5,11/11/2025,Cancelled,156
141,16,2,11/10/2025,Processing,171
142,1027,2,11/17/2025,Processing,432
143,166,5,11/21/2025,Cancelled,195
144,135,2,11/6/2025,Processing,369
145,558,5,11/29/2025,Cancelled,544
146,544,4,11/13/2025,Cancelled,323
147,89,5,11/10/2025,Cancelled,475
148,776,1,11/29/2025,Completed,87
149,46,4,11/26/2025,Processing,335
150,1017,4,11/29/2025,Completed,399
151,774,1,11/2/2025,Cancelled,441
152,1035,3,11/24/2025,Completed,398
153,51,1,11/21/2025,Cancelled,166
154,142,5,11/14/2025,Processing,87
155,936,4,11/1/2025,Processing,36
156,749,5,11/17/2025,Cancelled,491
157,504,2,11/16/2025,Completed,452
158,425,3,11/2/2025,Completed,684
159,81,3,11/21/2025,Cancelled,702
160,734,1,11/12/2025,Cancelled,165
161,494,1,11/26/2025,Completed,489
162,196,1,11/16/2025,Processing,307
163,1123,3,11/27/2025,Processing,726
164,749,5,11/6/2025,Cancelled,743
165,475,5,11/18/2025,Completed,255
166,848,3,11/17/2025,Completed,315
167,680,1,11/17/2025,Cancelled,86
168,174,4,11/7/2025,Cancelled,90
169,808,3,11/9/2025,Cancelled,706
170,676,3,11/27/2025,Completed,305
171,830,5,11/6/2025,Processing,66
172,703,2,11/23/2025,Cancelled,438
173,1154,1,11/26/2025,Cancelled,558
174,875,5,11/23/2025,Cancelled,233
175,526,2,11/29/2025,Completed,228
176,456,5,11/16/2025,Cancelled,286
177,215,3,11/4/2025,Cancelled,474
178,480,4,11/4/2025,Completed,272
179,199,5,11/29/2025,Processing,685
180,238,1,11/18/2025,Completed,60
181,763,1,11/15/2025,Completed,356
182,706,2,11/11/2025,Completed,272
183,715,1,11/7/2025,Processing,601
184,598,3,11/13/2025,Cancelled,783
185,13,2,11/23/2025,Processing,798
186,902,2,11/9/2025,Completed,258
187,31,4,11/15/2025,Completed,631
188,574,2,11/7/2025,Cancelled,414
189,81,5,11/9/2025,Completed,226
190,387,5,11/29/2025,Completed,311
191,911,5,11/26/2025,Completed,923
192,422,3,11/29/2025,Completed,32
193,464,1,11/7/2025,Processing,355
194,573,5,11/6/2025,Completed,142
195,938,2,11/27/2025,Completed,147
196,283,2,11/12/2025,Cancelled,273
197,748,2,11/15/2025,Completed,666
198,193,4,11/16/2025,Completed,408
199,1098,1,11/14/2025,Processing,228
200,749,5,11/9/2025,Processing,128
201,504,2,11/16/2025,Cancelled,331
202,379,3,11/17/2025,Cancelled,805
203,943,5,11/11/2025,Cancelled,804
204,921,2,11/30/2025,Processing,951
205,970,5,11/14/2025,Completed,452
206,562,4,11/16/2025,Completed,638
207,673,1,11/12/2025,Processing,683
208,548,4,11/12/2025,Completed,246
209,911,1,11/11/2025,Completed,552
210,112,2,11/28/2025,Completed,471
211,447,4,11/6/2025,Cancelled,530
212,527,5,11/26/2025,Processing,662
213,676,3,11/23/2025,Cancelled,45
214,568,4,11/1/2025,Processing,150
215,1113,1,11/16/2025,Cancelled,33
216,1154,2,11/18/2025,Processing,963
217,597,2,11/27/2025,Cancelled,934
218,1034,3,11/10/2025,Completed,70
219,586,3,11/26/2025,Processing,71
