product_id,category_id,supplier_id,product_name,sku,size,color,unit_price,stock_quantity,reorder_level,created_at
1,1,2,Womens Formal Pants,GIQ-0001,XS,Black,63.99,66,19,2023-06-24 00:00:00
2,1,1,Womens Formal Pants,GIQ-0002,XS,White,51.45,162,33,2023-03-05 00:00:00
3,1,4,Womens Formal Pants,GIQ-0003,XS,Cream,26.74,172,29,2024-04-02 00:00:00
4,1,2,Womens Formal Pants,GIQ-0004,XS,Dark Green,126.49,57,16,2023-04-09 00:00:00
5,1,2,Womens Formal Pants,GIQ-0005,XS,Blood Red,94.88,79,10,2024-03-30 00:00:00
6,1,3,Womens Formal Pants,GIQ-0006,XS,Dark Blue,106.66,26,22,2024-03-02 00:00:00
7,1,3,Womens Formal Pants,GIQ-0007,XS,Dark Brown,161.71,36,24,2023-01-20 00:00:00
8,1,4,Womens Formal Pants,GIQ-0008,XS,Sand,137.69,206,15,2023-04-22 00:00:00
9,1,2,Womens Formal Pants,GIQ-0009,S,Black,53.29,176,20,2023-04-23 00:00:00
10,1,3,Womens Formal Pants,GIQ-0010,S,White,20.03,46,18,2023-04-21 00:00:00
11,1,2,Womens Formal Pants,GIQ-0011,S,Cream,112.41,89,29,2024-04-17 00:00:00
12,1,4,Womens Formal Pants,GIQ-0012,S,Dark Green,74.7,186,13,2023-09-24 00:00:00
13,1,4,Womens Formal Pants,GIQ-0013,S,Blood Red,92.56,58,21,2024-04-22 00:00:00
14,1,5,Womens Formal Pants,GIQ-0014,S,Dark Blue,56.43,32,15,2024-04-07 00:00:00
15,1,2,Womens Formal Pants,GIQ-0015,S,Dark Brown,129.77,213,10,2023-10-26 00:00:00
16,1,2,Womens Formal Pants,GIQ-0016,S,Sand,111.72,57,32,2023-10-05 00:00:00
17,1,4,Womens Formal Pants,GIQ-0017,M,Black,68.06,118,25,2023-08-26 00:00:00
18,1,5,Womens Formal Pants,GIQ-0018,M,White,150.92,91,25,2024-04-20 00:00:00
19,1,5,Womens Formal Pants,GIQ-0019,M,Cream,45.39,228,16,2024-01-28 00:00:00
20,1,1,Womens Formal Pants,GIQ-0020,M,Dark Green,56.86,90,32,2023-10-20 00:00:00
21,1,4,Womens Formal Pants,GIQ-0021,M,Blood Red,54.81,75,26,2023-04-28 00:00:00
22,1,2,Womens Formal Pants,GIQ-0022,M,Dark Blue,36.98,46,26,2023-04-17 00:00:00
23,1,2,Womens Formal Pants,GIQ-0023,M,Dark Brown,134.19,201,21,2023-10-26 00:00:00
24,1,1,Womens Formal Pants,GIQ-0024,M,Sand,82.31,123,18,2024-05-24 00:00:00
25,1,5,Womens Formal Pants,GIQ-0025,L,Black,135.19,206,16,2024-01-09 00:00:00
26,1,5,Womens Formal Pants,GIQ-0026,L,White,96.87,59,16,2023-06-23 00:00:00
27,1,3,Womens Formal Pants,GIQ-0027,L,Cream,20.64,226,25,2023-06-10 00:00:00
28,1,1,Womens Formal Pants,GIQ-0028,L,Dark Green,122.58,244,12,2023-08-07 00:00:00
29,1,5,Womens Formal Pants,GIQ-0029,L,Blood Red,115.93,243,18,2023-09-20 00:00:00
30,1,1,Womens Formal Pants,GIQ-0030,L,Dark Blue,111.18,15,21,2024-02-27 00:00:00
31,1,3,Womens Formal Pants,GIQ-0031,L,Dark Brown,114.5,237,25,2023-10-02 00:00:00
32,1,5,Womens Formal Pants,GIQ-0032,L,Sand,86.11,154,26,2023-01-13 00:00:00
33,1,3,Womens Formal Pants,GIQ-0033,XL,Black,64.8,164,19,2023-07-26 00:00:00
34,1,4,Womens Formal Pants,GIQ-0034,XL,White,164.1,56,10,2023-05-27 00:00:00
35,1,5,Womens Formal Pants,GIQ-0035,XL,Cream,163.66,73,11,2024-05-11 00:00:00
36,1,4,Womens Formal Pants,GIQ-0036,XL,Dark Green,83.97,195,28,2024-03-28 00:00:00
37,1,5,Womens Formal Pants,GIQ-0037,XL,Blood Red,77.36,172,19,2023-09-26 00:00:00
38,1,2,Womens Formal Pants,GIQ-0038,XL,Dark Blue,66.27,135,21,2024-05-31 00:00:00
39,1,2,Womens Formal Pants,GIQ-0039,XL,Dark Brown,53.51,180,34,2023-10-25 00:00:00
40,1,3,Womens Formal Pants,GIQ-0040,XL,Sand,30.41,243,25,2024-02-09 00:00:00
41,2,1,Womens Formal Shirt,GIQ-0041,XS,Black,106.48,103,13,2023-07-05 00:00:00
42,2,3,Womens Formal Shirt,GIQ-0042,XS,White,108.82,236,12,2023-02-18 00:00:00
43,2,4,Womens Formal Shirt,GIQ-0043,XS,Cream,132.67,218,16,2024-03-12 00:00:00
44,2,4,Womens Formal Shirt,GIQ-0044,XS,Dark Green,63.02,80,10,2023-06-10 00:00:00
45,2,2,Womens Formal Shirt,GIQ-0045,XS,Blood Red,27.48,59,11,2024-03-25 00:00:00
46,2,3,Womens Formal Shirt,GIQ-0046,XS,Dark Blue,77.58,190,31,2024-05-20 00:00:00
47,2,1,Womens Formal Shirt,GIQ-0047,XS,Dark Brown,110.62,208,25,2023-06-23 00:00:00
48,2,4,Womens Formal Shirt,GIQ-0048,XS,Sand,97.48,17,27,2023-12-23 00:00:00
49,2,1,Womens Formal Shirt,GIQ-0049,S,Black,56,36,20,2023-11-21 00:00:00
50,2,3,Womens Formal Shirt,GIQ-0050,S,White,166.58,109,25,2023-09-22 00:00:00
51,2,3,Womens Formal Shirt,GIQ-0051,S,Cream,77.8,135,11,2023-10-31 00:00:00
52,2,2,Womens Formal Shirt,GIQ-0052,S,Dark Green,96.52,53,11,2023-07-08 00:00:00
53,2,4,Womens Formal Shirt,GIQ-0053,S,Blood Red,128.09,159,22,2024-04-05 00:00:00
54,2,5,Womens Formal Shirt,GIQ-0054,S,Dark Blue,20.44,40,11,2023-06-20 00:00:00
55,2,3,Womens Formal Shirt,GIQ-0055,S,Dark Brown,49.2,65,11,2023-10-25 00:00:00
56,2,4,Womens Formal Shirt,GIQ-0056,S,Sand,103.39,105,32,2023-06-16 00:00:00
57,2,2,Womens Formal Shirt,GIQ-0057,M,Black,120.64,165,25,2024-03-19 00:00:00
58,2,1,Womens Formal Shirt,GIQ-0058,M,White,157.49,157,27,2023-02-25 00:00:00
59,2,1,Womens Formal Shirt,GIQ-0059,M,Cream,70.73,181,34,2023-07-04 00:00:00
60,2,3,Womens Formal Shirt,GIQ-0060,M,Dark Green,132.36,239,13,2024-01-02 00:00:00
61,2,1,Womens Formal Shirt,GIQ-0061,M,Blood Red,65.46,73,28,2024-05-30 00:00:00
62,2,3,Womens Formal Shirt,GIQ-0062,M,Dark Blue,105.58,230,11,2023-07-24 00:00:00
63,2,5,Womens Formal Shirt,GIQ-0063,M,Dark Brown,45.13,168,25,2024-05-02 00:00:00
64,2,3,Womens Formal Shirt,GIQ-0064,M,Sand,129.46,186,18,2023-02-19 00:00:00
65,2,1,Womens Formal Shirt,GIQ-0065,L,Black,107.32,50,27,2023-12-11 00:00:00
66,2,5,Womens Formal Shirt,GIQ-0066,L,White,38.85,82,15,2024-03-01 00:00:00
67,2,2,Womens Formal Shirt,GIQ-0067,L,Cream,108.08,123,10,2023-05-01 00:00:00
68,2,3,Womens Formal Shirt,GIQ-0068,L,Dark Green,124.05,224,11,2023-12-30 00:00:00
69,2,1,Womens Formal Shirt,GIQ-0069,L,Blood Red,159.26,113,32,2024-01-06 00:00:00
70,2,2,Womens Formal Shirt,GIQ-0070,L,Dark Blue,42.52,178,24,2023-08-07 00:00:00
71,2,2,Womens Formal Shirt,GIQ-0071,L,Dark Brown,80.28,177,34,2024-04-13 00:00:00
72,2,4,Womens Formal Shirt,GIQ-0072,L,Sand,166.69,195,17,2024-01-14 00:00:00
73,2,2,Womens Formal Shirt,GIQ-0073,XL,Black,104.49,224,22,2023-09-10 00:00:00
74,2,2,Womens Formal Shirt,GIQ-0074,XL,White,97.19,145,15,2023-06-14 00:00:00
75,2,5,Womens Formal Shirt,GIQ-0075,XL,Cream,46.39,50,26,2023-02-22 00:00:00
76,2,4,Womens Formal Shirt,GIQ-0076,XL,Dark Green,54.86,122,15,2023-05-13 00:00:00
77,2,1,Womens Formal Shirt,GIQ-0077,XL,Blood Red,27.6,228,28,2023-03-28 00:00:00
78,2,2,Womens Formal Shirt,GIQ-0078,XL,Dark Blue,21.99,53,33,2023-04-15 00:00:00
79,2,3,Womens Formal Shirt,GIQ-0079,XL,Dark Brown,72.61,37,32,2023-04-08 00:00:00
80,2,1,Womens Formal Shirt,GIQ-0080,XL,Sand,29.55,72,26,2023-11-22 00:00:00
81,3,2,Office Wear One Piece,GIQ-0081,XS,Black,71.08,89,22,2024-02-21 00:00:00
82,3,2,Office Wear One Piece,GIQ-0082,XS,White,43.32,107,23,2023-07-14 00:00:00
83,3,2,Office Wear One Piece,GIQ-0083,XS,Cream,77.74,128,27,2024-05-29 00:00:00
84,3,5,Office Wear One Piece,GIQ-0084,XS,Dark Green,147.61,243,12,2024-04-26 00:00:00
85,3,4,Office Wear One Piece,GIQ-0085,XS,Blood Red,44.11,148,15,2024-03-29 00:00:00
86,3,1,Office Wear One Piece,GIQ-0086,XS,Dark Blue,23.99,12,26,2023-08-09 00:00:00
87,3,5,Office Wear One Piece,GIQ-0087,XS,Dark Brown,57.71,205,33,2023-07-25 00:00:00
88,3,1,Office Wear One Piece,GIQ-0088,XS,Sand,63.24,50,33,2023-01-30 00:00:00
89,3,1,Office Wear One Piece,GIQ-0089,S,Black,127.77,177,17,2023-05-31 00:00:00
90,3,5,Office Wear One Piece,GIQ-0090,S,White,63.96,186,29,2024-05-23 00:00:00
91,3,3,Office Wear One Piece,GIQ-0091,S,Cream,17.68,137,24,2024-01-04 00:00:00
92,3,5,Office Wear One Piece,GIQ-0092,S,Dark Green,43.68,58,35,2024-02-24 00:00:00
93,3,1,Office Wear One Piece,GIQ-0093,S,Blood Red,135.35,15,10,2023-10-22 00:00:00
94,3,2,Office Wear One Piece,GIQ-0094,S,Dark Blue,141.32,23,22,2023-05-12 00:00:00
95,3,5,Office Wear One Piece,GIQ-0095,S,Dark Brown,100.98,183,27,2024-05-03 00:00:00
96,3,2,Office Wear One Piece,GIQ-0096,S,Sand,131.81,31,22,2023-05-23 00:00:00
97,3,5,Office Wear One Piece,GIQ-0097,M,Black,25.96,154,12,2023-01-24 00:00:00
98,3,5,Office Wear One Piece,GIQ-0098,M,White,129.46,212,35,2024-01-07 00:00:00
99,3,4,Office Wear One Piece,GIQ-0099,M,Cream,41.61,199,27,2023-08-10 00:00:00
100,3,3,Office Wear One Piece,GIQ-0100,M,Dark Green,81.68,138,27,2023-06-14 00:00:00
101,3,5,Office Wear One Piece,GIQ-0101,M,Blood Red,97.51,244,21,2023-12-29 00:00:00
102,3,5,Office Wear One Piece,GIQ-0102,M,Dark Blue,35.76,121,18,2024-01-17 00:00:00
103,3,5,Office Wear One Piece,GIQ-0103,M,Dark Brown,92.05,74,28,2024-04-17 00:00:00
104,3,4,Office Wear One Piece,GIQ-0104,M,Sand,134.39,61,11,2023-01-11 00:00:00
105,3,5,Office Wear One Piece,GIQ-0105,L,Black,91.89,117,12,2024-01-01 00:00:00
106,3,5,Office Wear One Piece,GIQ-0106,L,White,123.58,131,19,2023-10-12 00:00:00
107,3,1,Office Wear One Piece,GIQ-0107,L,Cream,162.71,76,32,2023-11-17 00:00:00
108,3,5,Office Wear One Piece,GIQ-0108,L,Dark Green,72.59,17,11,2023-02-27 00:00:00
109,3,4,Office Wear One Piece,GIQ-0109,L,Blood Red,133.77,161,15,2023-03-09 00:00:00
110,3,5,Office Wear One Piece,GIQ-0110,L,Dark Blue,156.13,56,35,2024-05-27 00:00:00
111,3,2,Office Wear One Piece,GIQ-0111,L,Dark Brown,34.45,205,31,2023-09-08 00:00:00
112,3,1,Office Wear One Piece,GIQ-0112,L,Sand,91.35,17,15,2023-11-13 00:00:00
113,3,2,Office Wear One Piece,GIQ-0113,XL,Black,132.1,27,34,2023-02-19 00:00:00
114,3,2,Office Wear One Piece,GIQ-0114,XL,White,96.95,171,33,2023-10-29 00:00:00
115,3,2,Office Wear One Piece,GIQ-0115,XL,Cream,65.16,236,28,2023-05-15 00:00:00
116,3,2,Office Wear One Piece,GIQ-0116,XL,Dark Green,77.5,71,22,2023-06-07 00:00:00
117,3,5,Office Wear One Piece,GIQ-0117,XL,Blood Red,130.59,68,20,2024-01-17 00:00:00
118,3,1,Office Wear One Piece,GIQ-0118,XL,Dark Blue,111.89,121,27,2024-05-06 00:00:00
119,3,5,Office Wear One Piece,GIQ-0119,XL,Dark Brown,160.59,216,28,2023-09-22 00:00:00
120,3,1,Office Wear One Piece,GIQ-0120,XL,Sand,69.72,68,32,2023-03-19 00:00:00
121,4,4,Womens Casual Top,GIQ-0121,XS,Black,51.16,179,17,2023-06-24 00:00:00
122,4,1,Womens Casual Top,GIQ-0122,XS,White,121.65,99,34,2024-05-09 00:00:00
123,4,3,Womens Casual Top,GIQ-0123,XS,Cream,16.18,227,15,2023-08-29 00:00:00
124,4,4,Womens Casual Top,GIQ-0124,XS,Dark Green,63.69,134,17,2023-06-15 00:00:00
125,4,4,Womens Casual Top,GIQ-0125,XS,Blood Red,111.17,87,24,2023-07-14 00:00:00
126,4,1,Womens Casual Top,GIQ-0126,XS,Dark Blue,132.13,131,30,2024-01-15 00:00:00
127,4,5,Womens Casual Top,GIQ-0127,XS,Dark Brown,147.41,79,11,2023-03-14 00:00:00
128,4,2,Womens Casual Top,GIQ-0128,XS,Sand,112.74,110,22,2024-04-15 00:00:00
129,4,5,Womens Casual Top,GIQ-0129,S,Black,167.03,133,29,2023-11-20 00:00:00
130,4,5,Womens Casual Top,GIQ-0130,S,White,43.96,148,34,2024-02-12 00:00:00
131,4,3,Womens Casual Top,GIQ-0131,S,Cream,47.8,53,22,2023-09-19 00:00:00
132,4,2,Womens Casual Top,GIQ-0132,S,Dark Green,88.61,174,24,2024-05-26 00:00:00
133,4,5,Womens Casual Top,GIQ-0133,S,Blood Red,38.66,222,26,2023-09-09 00:00:00
134,4,5,Womens Casual Top,GIQ-0134,S,Dark Blue,34.58,19,29,2024-01-04 00:00:00
135,4,3,Womens Casual Top,GIQ-0135,S,Dark Brown,168.18,104,26,2024-02-18 00:00:00
136,4,5,Womens Casual Top,GIQ-0136,S,Sand,59.92,107,26,2023-10-27 00:00:00
137,4,5,Womens Casual Top,GIQ-0137,M,Black,107.41,59,15,2024-01-12 00:00:00
138,4,2,Womens Casual Top,GIQ-0138,M,White,159.37,164,10,2024-04-18 00:00:00
139,4,3,Womens Casual Top,GIQ-0139,M,Cream,165.58,162,14,2024-05-25 00:00:00
140,4,5,Womens Casual Top,GIQ-0140,M,Dark Green,117.36,200,32,2023-12-26 00:00:00
141,4,4,Womens Casual Top,GIQ-0141,M,Blood Red,116.89,78,15,2023-03-29 00:00:00
142,4,5,Womens Casual Top,GIQ-0142,M,Dark Blue,140.26,189,15,2024-04-06 00:00:00
143,4,5,Womens Casual Top,GIQ-0143,M,Dark Brown,58.83,112,14,2024-05-26 00:00:00
144,4,4,Womens Casual Top,GIQ-0144,M,Sand,75.5,170,31,2023-04-23 00:00:00
145,4,3,Womens Casual Top,GIQ-0145,L,Black,147.53,134,10,2024-03-26 00:00:00
146,4,1,Womens Casual Top,GIQ-0146,L,White,72.67,239,20,2023-10-29 00:00:00
147,4,1,Womens Casual Top,GIQ-0147,L,Cream,29.41,92,11,2023-12-23 00:00:00
148,4,4,Womens Casual Top,GIQ-0148,L,Dark Green,106.2,123,15,2023-07-16 00:00:00
149,4,2,Womens Casual Top,GIQ-0149,L,Blood Red,55.79,128,33,2023-10-20 00:00:00
150,4,3,Womens Casual Top,GIQ-0150,L,Dark Blue,118.96,147,20,2023-04-11 00:00:00
151,4,3,Womens Casual Top,GIQ-0151,L,Dark Brown,33.71,213,11,2023-11-27 00:00:00
152,4,2,Womens Casual Top,GIQ-0152,L,Sand,121.53,89,35,2024-01-02 00:00:00
153,4,5,Womens Casual Top,GIQ-0153,XL,Black,60.25,90,33,2023-09-08 00:00:00
154,4,4,Womens Casual Top,GIQ-0154,XL,White,44.67,61,16,2023-05-08 00:00:00
155,4,4,Womens Casual Top,GIQ-0155,XL,Cream,50.39,108,33,2023-12-01 00:00:00
156,4,4,Womens Casual Top,GIQ-0156,XL,Dark Green,31.42,32,15,2023-01-31 00:00:00
157,4,5,Womens Casual Top,GIQ-0157,XL,Blood Red,37.91,216,19,2023-01-12 00:00:00
158,4,4,Womens Casual Top,GIQ-0158,XL,Dark Blue,113.77,205,14,2023-07-24 00:00:00
159,4,2,Womens Casual Top,GIQ-0159,XL,Dark Brown,168.88,128,34,2023-01-01 00:00:00
160,4,4,Womens Casual Top,GIQ-0160,XL,Sand,116.22,117,18,2024-05-15 00:00:00
161,5,1,Denim Jacket,GIQ-0161,XS,Black,124.42,156,33,2024-03-26 00:00:00
162,5,5,Denim Jacket,GIQ-0162,XS,White,36.34,96,15,2023-09-01 00:00:00
163,5,2,Denim Jacket,GIQ-0163,XS,Cream,112.49,14,32,2023-02-23 00:00:00
164,5,2,Denim Jacket,GIQ-0164,XS,Dark Green,20.18,160,23,2024-03-23 00:00:00
165,5,1,Denim Jacket,GIQ-0165,XS,Blood Red,134.56,127,12,2024-04-17 00:00:00
166,5,3,Denim Jacket,GIQ-0166,XS,Dark Blue,89.88,133,29,2024-03-11 00:00:00
167,5,4,Denim Jacket,GIQ-0167,XS,Dark Brown,167.76,171,18,2023-02-27 00:00:00
168,5,4,Denim Jacket,GIQ-0168,XS,Sand,54.79,244,30,2023-09-09 00:00:00
169,5,5,Denim Jacket,GIQ-0169,S,Black,22.91,53,21,2023-06-29 00:00:00
170,5,1,Denim Jacket,GIQ-0170,S,White,66.87,103,16,2023-10-01 00:00:00
171,5,5,Denim Jacket,GIQ-0171,S,Cream,76.44,196,33,2024-04-21 00:00:00
172,5,1,Denim Jacket,GIQ-0172,S,Dark Green,20.54,48,34,2023-07-02 00:00:00
173,5,2,Denim Jacket,GIQ-0173,S,Blood Red,128.36,52,15,2023-08-02 00:00:00
174,5,5,Denim Jacket,GIQ-0174,S,Dark Blue,125.92,15,10,2023-07-11 00:00:00
175,5,2,Denim Jacket,GIQ-0175,S,Dark Brown,23.59,33,17,2024-02-02 00:00:00
176,5,5,Denim Jacket,GIQ-0176,S,Sand,65.38,119,33,2023-06-03 00:00:00
177,5,1,Denim Jacket,GIQ-0177,M,Black,34.79,11,14,2023-10-25 00:00:00
178,5,2,Denim Jacket,GIQ-0178,M,White,100.43,222,11,2024-01-06 00:00:00
179,5,4,Denim Jacket,GIQ-0179,M,Cream,86.39,139,17,2023-01-09 00:00:00
180,5,4,Denim Jacket,GIQ-0180,M,Dark Green,53.84,184,25,2023-01-25 00:00:00
181,5,3,Denim Jacket,GIQ-0181,M,Blood Red,103.15,82,18,2023-09-26 00:00:00
182,5,3,Denim Jacket,GIQ-0182,M,Dark Blue,109.73,246,19,2024-03-19 00:00:00
183,5,5,Denim Jacket,GIQ-0183,M,Dark Brown,152.53,249,29,2023-04-10 00:00:00
184,5,4,Denim Jacket,GIQ-0184,M,Sand,167.55,21,20,2023-12-08 00:00:00
185,5,5,Denim Jacket,GIQ-0185,L,Black,143.08,207,13,2023-05-18 00:00:00
186,5,2,Denim Jacket,GIQ-0186,L,White,58.32,163,32,2023-05-07 00:00:00
187,5,1,Denim Jacket,GIQ-0187,L,Cream,101.48,126,26,2023-07-20 00:00:00
188,5,5,Denim Jacket,GIQ-0188,L,Dark Green,155.14,34,34,2023-11-09 00:00:00
189,5,4,Denim Jacket,GIQ-0189,L,Blood Red,159.93,150,25,2024-05-07 00:00:00
190,5,5,Denim Jacket,GIQ-0190,L,Dark Blue,166.44,246,24,2024-05-28 00:00:00
191,5,5,Denim Jacket,GIQ-0191,L,Dark Brown,134.78,176,27,2023-05-31 00:00:00
192,5,3,Denim Jacket,GIQ-0192,L,Sand,67.44,74,20,2023-04-20 00:00:00
193,5,2,Denim Jacket,GIQ-0193,XL,Black,148.47,118,20,2023-09-29 00:00:00
194,5,4,Denim Jacket,GIQ-0194,XL,White,51.27,182,13,2024-05-06 00:00:00
195,5,4,Denim Jacket,GIQ-0195,XL,Cream,127.34,78,10,2023-03-04 00:00:00
196,5,3,Denim Jacket,GIQ-0196,XL,Dark Green,156.43,132,32,2024-02-15 00:00:00
197,5,5,Denim Jacket,GIQ-0197,XL,Blood Red,125.76,26,18,2024-01-13 00:00:00
198,5,1,Denim Jacket,GIQ-0198,XL,Dark Blue,106.03,224,22,2023-08-05 00:00:00
199,5,3,Denim Jacket,GIQ-0199,XL,Dark Brown,53.07,174,15,2023-07-16 00:00:00
200,5,1,Denim Jacket,GIQ-0200,XL,Sand,160.13,153,32,2023-03-07 00:00:00
201,5,2,Denim Jacket,GIQ-0201,XXL,Black,163.3,158,34,2024-01-03 00:00:00
202,5,1,Denim Jacket,GIQ-0202,XXL,White,100.34,106,22,2023-05-11 00:00:00
203,5,3,Denim Jacket,GIQ-0203,XXL,Cream,153.64,64,33,2024-05-25 00:00:00
204,5,3,Denim Jacket,GIQ-0204,XXL,Dark Green,161.74,98,20,2023-07-23 00:00:00
205,5,1,Denim Jacket,GIQ-0205,XXL,Blood Red,49.85,68,13,2024-04-04 00:00:00
206,5,4,Denim Jacket,GIQ-0206,XXL,Dark Blue,146.18,40,17,2024-03-01 00:00:00
207,5,5,Denim Jacket,GIQ-0207,XXL,Dark Brown,38.21,118,29,2023-07-22 00:00:00
208,5,5,Denim Jacket,GIQ-0208,XXL,Sand,148.29,41,24,2023-10-27 00:00:00
209,6,3,Jeans,GIQ-0209,XS,Black,161.34,101,34,2024-02-02 00:00:00
210,6,5,Jeans,GIQ-0210,XS,White,70.01,122,18,2024-02-02 00:00:00
211,6,3,Jeans,GIQ-0211,XS,Cream,140.29,182,18,2023-02-02 00:00:00
212,6,3,Jeans,GIQ-0212,XS,Dark Green,88.97,51,32,2023-10-17 00:00:00
213,6,2,Jeans,GIQ-0213,XS,Blood Red,115.19,15,16,2023-01-28 00:00:00
214,6,4,Jeans,GIQ-0214,XS,Dark Blue,77.66,130,20,2023-10-14 00:00:00
215,6,2,Jeans,GIQ-0215,XS,Dark Brown,75.98,117,31,2023-10-20 00:00:00
216,6,3,Jeans,GIQ-0216,XS,Sand,97.35,16,25,2023-06-14 00:00:00
217,6,1,Jeans,GIQ-0217,S,Black,38.1,100,16,2024-04-05 00:00:00
218,6,1,Jeans,GIQ-0218,S,White,141.38,137,22,2023-10-24 00:00:00
219,6,2,Jeans,GIQ-0219,S,Cream,20.23,146,15,2023-12-07 00:00:00
220,6,2,Jeans,GIQ-0220,S,Dark Green,55.43,216,31,2023-04-05 00:00:00
221,6,5,Jeans,GIQ-0221,S,Blood Red,64.82,166,11,2023-04-11 00:00:00
222,6,4,Jeans,GIQ-0222,S,Dark Blue,150.3,140,35,2023-10-12 00:00:00
223,6,4,Jeans,GIQ-0223,S,Dark Brown,101.59,173,23,2023-01-03 00:00:00
224,6,2,Jeans,GIQ-0224,S,Sand,92.61,245,14,2023-07-18 00:00:00
225,6,2,Jeans,GIQ-0225,M,Black,40.96,232,10,2023-05-05 00:00:00
226,6,2,Jeans,GIQ-0226,M,White,69.37,16,30,2023-11-02 00:00:00
227,6,1,Jeans,GIQ-0227,M,Cream,92.71,32,28,2023-09-01 00:00:00
228,6,5,Jeans,GIQ-0228,M,Dark Green,95.03,234,20,2023-07-12 00:00:00
