sales_id,product_id,customer_id,user_id,quantity_sold,unit_price,total_amount,sale_date,payment_method
1,13,261,5,2,26,52,10/21/2025,Debit Card
2,44,261,5,1,26,26,10/21/2025,Debit Card
3,48,9,1,1,92,92,10/15/2025,Credit Card
4,30,9,1,3,149,447,10/15/2025,Credit Card
5,12,9,1,2,109,218,10/15/2025,Debit Card
6,10,9,1,3,115,345,10/15/2025,Debit Card
7,32,557,3,2,50,100,10/14/2025,Debit Card
8,9,834,2,3,59,177,10/21/2025,Credit Card
9,14,111,2,1,60,60,10/24/2025,Credit Card
10,35,111,2,2,28,56,10/24/2025,Credit Card
11,33,111,2,3,76,228,10/24/2025,Debit Card
12,5,111,2,2,115,230,10/24/2025,Credit Card
13,37,1138,1,2,124,248,10/27/2025,PayPal
14,15,534,1,3,44,132,10/25/2025,Credit Card
15,40,534,1,3,29,87,10/25/2025,Debit Card
16,39,534,1,2,42,84,10/25/2025,PayPal
17,24,534,1,1,101,101,10/25/2025,Debit Card
18,35,253,5,2,90,180,10/13/2025,Credit Card
19,1,253,5,2,30,60,10/13/2025,PayPal
20,5,253,5,1,121,121,10/13/2025,Debit Card
21,5,253,5,1,133,133,10/13/2025,Credit Card
22,17,286,1,2,51,102,10/16/2025,Credit Card
23,20,286,1,1,141,141,10/16/2025,Credit Card
24,2,286,1,2,80,160,10/16/2025,Debit Card
25,20,286,1,2,149,298,10/16/2025,Debit Card
26,13,104,4,1,96,96,10/29/2025,Debit Card
27,46,104,4,1,37,37,10/29/2025,PayPal
28,40,977,2,3,114,342,10/18/2025,Credit Card
29,36,977,2,1,29,29,10/18/2025,Debit Card
30,39,977,2,1,147,147,10/18/2025,Credit Card
31,47,167,4,3,126,378,10/7/2025,PayPal
32,18,167,4,3,133,399,10/7/2025,Credit Card
33,15,1175,2,3,57,171,10/10/2025,Credit Card
34,5,1175,2,2,132,264,10/10/2025,Credit Card
35,20,879,5,1,148,148,10/22/2025,Debit Card
36,49,879,5,1,147,147,10/22/2025,Credit Card
